$ binwalk tt3720.ah-3_09-0001-tt3720.bin

DECIMAL       HEXADECIMAL     DESCRIPTION
8939640       0x886878        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/mmi/bgan_ut/call_log/src/call_log.cpp
8941448       0x886F88        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/mmi/bgan_ut/keypad/src/keypad.cpp
8943224       0x887678        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/mmi/bgan_ut/panel/src/mmi_panel.cpp
8944588       0x887BCC        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/tt3720/build/monroe.linux-gnu-gcc.mips/include/system/bgan_ut/message/sync_messag
8952524       0x889ACC        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/mmi/bgan_ut/panel/src/mmi_buzzer.cpp
8953120       0x889D20        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/mmi/bgan_ut/panel/src/mmisys.cpp
8959416       0x88B5B8        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/mmi/bgan_ut/panel/src/mmisscm.cpp
8962668       0x88C26C        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/tt3720/build/monroe.linux-gnu-gcc.mips/include/system/bgan_ut/message/sync_messag
8963824       0x88C6F0        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/mmi/bgan_ut/phonebook/src/phonebook.cpp
8964792       0x88CAB8        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/mmi/bgan_ut/powerctrl/src/powerctrl.cpp
8967104       0x88D3C0        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/mmi/bgan_ut/powerctrl/src/cmd_at_cfun.cpp
9106620       0x8AF4BC        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/mmi/bgan_ut/xavante_start/src/lua_start_xavante.cpp
9114783       0x8B149F        eCos RTOS string reference: "ecos/interrupt/src/tt_irq.cpp"
9115304       0x8B16A8        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/protocols/bluetooth/bluetooth/src/bt_stack_common/btutils.c
9125724       0x8B3F5C        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/protocols/bluetooth/bluetooth/src/bt_stack_common/debug.c
9127316       0x8B4594        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/protocols/bluetooth/bluetooth/src/bt_stack_common/rxbuff.c
9127760       0x8B4750        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/protocols/bluetooth/bluetooth/src/bt_stack_common/sniffer.c
9136112       0x8B67F0        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/protocols/bluetooth/bluetooth/src/bt_stack_common/utils.c
9136980       0x8B6B54        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/protocols/bluetooth/bluetooth/src/bt_stack_hci/hci_evnt.c
9137784       0x8B6E78        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/protocols/bluetooth/bluetooth/src/bt_stack_hci/hci_proc.c
9139140       0x8B73C4        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/protocols/bluetooth/bluetooth/src/bt_stack_hci/hci_util.c
9141184       0x8B7BC0        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/protocols/bluetooth/bluetooth/src/bt_stack_l2cap/l2cap_if.c
9142360       0x8B8058        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/protocols/bluetooth/bluetooth/src/bt_stack_l2cap/l2cap_sm.c
9144360       0x8B8828        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/protocols/bluetooth/bluetooth/src/bt_stack_l2cap/l2cap_utl.c
9145224       0x8B8B88        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/protocols/bluetooth/bluetooth/src/bt_stack_me/me.c
9148068       0x8B96A4        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/protocols/bluetooth/bluetooth/src/bt_stack_me/meacc.c
9149384       0x8B9BC8        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/protocols/bluetooth/bluetooth/src/bt_stack_me/mecon.c
9152436       0x8BA7B4        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/protocols/bluetooth/bluetooth/src/bt_stack_me/medev.c
9152744       0x8BA8E8        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/protocols/bluetooth/bluetooth/src/bt_stack_me/meif.c
9154916       0x8BB164        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/protocols/bluetooth/bluetooth/src/bt_stack_me/mesco.c
9155756       0x8BB4AC        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/protocols/bluetooth/bluetooth/src/bt_stack_me/mescoif.c
9159652       0x8BC3E4        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/protocols/bluetooth/bluetooth/src/bt_stack_rfcomm/rfc_ctl.c
9161920       0x8BCCC0        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/protocols/bluetooth/bluetooth/src/bt_stack_rfcomm/rfc_sm.c
9162784       0x8BD020        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/protocols/bluetooth/bluetooth/src/bt_stack_rfcomm/rfc_util.c
9164628       0x8BD754        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/protocols/bluetooth/bluetooth/src/bt_stack_rfcomm/rfcomm.c
9165004       0x8BD8CC        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/protocols/bluetooth/bluetooth/src/bt_stack_sdp/sdpclient.c
9166248       0x8BDDA8        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/protocols/bluetooth/bluetooth/src/bt_stack_sdp/sdpserv.c
9169088       0x8BE8C0        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/protocols/bluetooth/bluetooth/src/bt_stack_sdp/sdputil.c
9170480       0x8BEE30        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/protocols/bluetooth/bluetooth/src/bt_stack_tcs/tcs_sm.c
9173148       0x8BF89C        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/protocols/bluetooth/bluetooth/src/bt_stack_tcs/tcspmp.c
9174140       0x8BFC7C        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/protocols/bluetooth/bluetooth/src/bt_platform/ddb4w.cpp
9175080       0x8C0028        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/protocols/bluetooth/bluetooth/src/bt_platform/osapi.cpp
9176236       0x8C04AC        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/protocols/bluetooth/bluetooth/src/bt_manager/devstatem.cpp
9183228       0x8C1FFC        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/protocols/bluetooth/bluetooth/src/bt_manager/devsrvstatem.cpp
9185680       0x8C2990        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/protocols/bluetooth/bluetooth/src/bt_profile_cordless/cordless.c
9188336       0x8C33F0        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/protocols/bluetooth/bluetooth/src/bt_profile_serial/spp.c
9190024       0x8C3A88        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/protocols/bluetooth/bluetooth/src/bt_profile_wap/wapservice.cpp
9191480       0x8C4038        Unix path: /home/bgan-build/build/source/p-tt3720.ah-3_09/modules/protocols/bluetooth/bluetooth/src/bt_apps_common/allocsm.cpp
